date,path,coverage
2024-01-06,71,full
2024-01-07,70,full
2024-01-14,71,full
2024-01-15,70,full
2024-01-22,71,full
2024-01-23,70,full
2024-01-30,71,full
2024-01-31,70,full
2024-02-07,71,full
2024-02-08,70,full
2024-02-15,71,full
2024-02-16,70,full
2024-02-23,71,full
2024-02-24,70,full
2024-03-02,71,full
2024-03-03,70,full
2024-03-10,71,full
2024-03-11,70,full
2024-03-18,71,full
2024-03-19,70,full
2024-03-26,71,full
2024-03-27,70,full
2024-04-03,71,full
2024-04-04,70,full
2024-04-11,71,full
2024-04-12,70,full
2024-04-19,71,full
2024-04-20,70,full
2024-04-27,71,full
2024-04-28,70,full
2024-05-05,71,full
2024-05-06,70,full
2024-05-13,71,full
2024-05-14,70,full
2024-05-21,71,full
2024-05-22,70,full
2024-05-29,71,full
2024-05-30,70,full
2024-06-06,71,full
2024-06-07,70,full
2024-06-14,71,full
2024-06-15,70,full
2024-06-22,71,full
2024-06-23,70,full
2024-06-30,71,full
2024-07-01,70,full
2024-07-08,71,full
2024-07-09,70,full
2024-07-16,71,full
2024-07-17,70,full
2024-07-24,71,full
2024-07-25,70,full
2024-08-01,71,full
2024-08-02,70,full
2024-08-09,71,full
2024-08-10,70,full
2024-08-17,71,full
2024-08-18,70,full
2024-08-25,71,full
2024-08-26,70,full
2024-09-02,71,full
2024-09-03,70,full
2024-09-10,71,full
2024-09-11,70,full
2024-09-18,71,full
2024-09-19,70,full
2024-09-26,71,full
2024-09-27,70,full
2024-10-04,71,full
2024-10-05,70,full
2024-10-12,71,full
2024-10-13,70,full
2024-10-20,71,full
2024-10-21,70,full
2024-10-28,71,full
2024-10-29,70,full
2024-11-05,71,full
2024-11-06,70,full
2024-11-13,71,full
2024-11-14,70,full
2024-11-21,71,full
2024-11-22,70,full
2024-11-29,71,full
2024-11-30,70,full
2024-12-07,71,full
2024-12-08,70,full
2024-12-15,71,full
2024-12-16,70,full
2024-12-23,71,full
2024-12-24,70,full
2024-12-31,71,full
