date,path,coverage
2024-01-05,79,full
2024-01-06,77,full
2024-01-07,80,full
2024-01-08,78,full
2024-01-13,79,full
2024-01-14,77,full
2024-01-15,80,full
2024-01-16,78,full
2024-01-21,79,full
2024-01-22,77,full
2024-01-23,80,full
2024-01-24,78,full
2024-01-29,79,full
2024-01-30,77,full
2024-01-31,80,full
2024-02-01,78,full
2024-02-06,79,full
2024-02-07,77,full
2024-02-08,80,full
2024-02-09,78,full
2024-02-14,79,full
2024-02-15,77,full
2024-02-16,80,full
2024-02-17,78,full
2024-02-22,79,full
2024-02-23,77,full
2024-02-24,80,full
2024-02-25,78,full
2024-03-01,79,full
2024-03-02,77,full
2024-03-03,80,full
2024-03-04,78,full
2024-03-09,79,full
2024-03-10,77,full
2024-03-11,80,full
2024-03-12,78,full
2024-03-17,79,full
2024-03-18,77,full
2024-03-19,80,full
2024-03-20,78,full
2024-03-25,79,full
2024-03-26,77,full
2024-03-27,80,full
2024-03-28,78,full
2024-04-02,79,full
2024-04-03,77,full
2024-04-04,80,full
2024-04-05,78,full
2024-04-10,79,full
2024-04-11,77,full
2024-04-12,80,full
2024-04-13,78,full
2024-04-18,79,full
2024-04-19,77,full
2024-04-20,80,full
2024-04-21,78,full
2024-04-26,79,full
2024-04-27,77,full
2024-04-28,80,full
2024-04-29,78,full
2024-05-04,79,full
2024-05-05,77,full
2024-05-06,80,full
2024-05-07,78,full
2024-05-12,79,full
2024-05-13,77,full
2024-05-14,80,full
2024-05-15,78,full
2024-05-20,79,full
2024-05-21,77,full
2024-05-22,80,full
2024-05-23,78,full
2024-05-28,79,full
2024-05-29,77,full
2024-05-30,80,full
2024-05-31,78,full
2024-06-05,79,full
2024-06-06,77,full
2024-06-07,80,full
2024-06-08,78,full
2024-06-13,79,full
2024-06-14,77,full
2024-06-15,80,full
2024-06-16,78,full
2024-06-21,79,full
2024-06-22,77,full
2024-06-23,80,full
2024-06-24,78,full
2024-06-29,79,full
2024-06-30,77,full
2024-07-01,80,full
2024-07-02,78,full
2024-07-07,79,full
2024-07-08,77,full
2024-07-09,80,full
2024-07-10,78,full
2024-07-15,79,full
2024-07-16,77,full
2024-07-17,80,full
2024-07-18,78,full
2024-07-23,79,full
2024-07-24,77,full
2024-07-25,80,full
2024-07-26,78,full
2024-07-31,79,full
2024-08-01,77,full
2024-08-02,80,full
2024-08-03,78,full
2024-08-08,79,full
2024-08-09,77,full
2024-08-10,80,full
2024-08-11,78,full
2024-08-16,79,full
2024-08-17,77,full
2024-08-18,80,full
2024-08-19,78,full
2024-08-24,79,full
2024-08-25,77,full
2024-08-26,80,full
2024-08-27,78,full
2024-09-01,79,full
2024-09-02,77,full
2024-09-03,80,full
2024-09-04,78,full
2024-09-09,79,full
2024-09-10,77,full
2024-09-11,80,full
2024-09-12,78,full
2024-09-17,79,full
2024-09-18,77,full
2024-09-19,80,full
2024-09-20,78,full
2024-09-25,79,full
2024-09-26,77,full
2024-09-27,80,full
2024-09-28,78,full
2024-10-03,79,full
2024-10-04,77,full
2024-10-05,80,full
2024-10-06,78,full
2024-10-11,79,full
2024-10-12,77,full
2024-10-13,80,full
2024-10-14,78,full
2024-10-19,79,full
2024-10-20,77,full
2024-10-21,80,full
2024-10-22,78,full
2024-10-27,79,full
2024-10-28,77,full
2024-10-29,80,full
2024-10-30,78,full
2024-11-04,79,full
2024-11-05,77,full
2024-11-06,80,full
2024-11-07,78,full
2024-11-12,79,full
2024-11-13,77,full
2024-11-14,80,full
2024-11-15,78,full
2024-11-20,79,full
2024-11-21,77,full
2024-11-22,80,full
2024-11-23,78,full
2024-11-28,79,full
2024-11-29,77,full
2024-11-30,80,full
2024-12-01,78,full
2024-12-06,79,full
2024-12-07,77,full
2024-12-08,80,full
2024-12-09,78,full
2024-12-14,79,full
2024-12-15,77,full
2024-12-16,80,full
2024-12-17,78,full
2024-12-22,79,full
2024-12-23,77,full
2024-12-24,80,full
2024-12-25,78,full
2024-12-30,79,full
2024-12-31,77,full
