date,track,coverage
2021-01-02,11,full
2021-01-04,54,partial
2021-01-05,111,partial
2021-01-07,11,full
2021-01-09,54,partial
2021-01-10,111,partial
2021-01-12,11,full
2021-01-14,54,partial
2021-01-15,111,partial
2021-01-17,11,full
2021-01-19,54,partial
2021-01-20,111,partial
2021-01-22,11,full
2021-01-24,54,partial
2021-01-25,111,partial
2021-01-27,11,full
2021-01-29,54,partial
2021-01-30,111,partial
2021-02-01,11,full
2021-02-03,54,partial
2021-02-04,111,partial
2021-02-06,11,full
2021-02-08,54,partial
2021-02-09,111,partial
2021-02-11,11,full
2021-02-13,54,partial
2021-02-14,111,partial
2021-02-16,11,full
2021-02-18,54,partial
2021-02-19,111,partial
2021-02-21,11,full
2021-02-23,54,partial
2021-02-24,111,partial
2021-02-26,11,full
2021-02-28,54,partial
2021-03-01,111,partial
2021-03-03,11,full
2021-03-05,54,partial
2021-03-06,111,partial
2021-03-08,11,full
2021-03-10,54,partial
2021-03-11,111,partial
2021-03-13,11,full
2021-03-15,54,partial
2021-03-16,111,partial
2021-03-18,11,full
2021-03-20,54,partial
2021-03-21,111,partial
2021-03-23,11,full
2021-03-25,54,partial
2021-03-26,111,partial
2021-03-28,11,full
2021-03-30,54,partial
2021-03-31,111,partial
2021-04-02,11,full
2021-04-04,54,partial
2021-04-05,111,partial
2021-04-07,11,full
2021-04-09,54,partial
2021-04-10,111,partial
2021-04-12,11,full
2021-04-14,54,partial
2021-04-15,111,partial
2021-04-17,11,full
2021-04-19,54,partial
2021-04-20,111,partial
2021-04-22,11,full
2021-04-24,54,partial
2021-04-25,111,partial
2021-04-27,11,full
2021-04-29,54,partial
2021-04-30,111,partial
2021-05-02,11,full
2021-05-04,54,partial
2021-05-05,111,partial
2021-05-07,11,full
2021-05-09,54,partial
2021-05-10,111,partial
2021-05-12,11,full
2021-05-14,54,partial
2021-05-15,111,partial
2021-05-17,11,full
2021-05-19,54,partial
2021-05-20,111,partial
2021-05-22,11,full
2021-05-24,54,partial
2021-05-25,111,partial
2021-05-27,11,full
2021-05-29,54,partial
2021-05-30,111,partial
2021-06-01,11,full
2021-06-03,54,partial
2021-06-04,111,partial
2021-06-06,11,full
2021-06-08,54,partial
2021-06-09,111,partial
2021-06-11,11,full
2021-06-13,54,partial
2021-06-14,111,partial
2021-06-16,11,full
2021-06-18,54,partial
2021-06-19,111,partial
2021-06-21,11,full
2021-06-23,54,partial
2021-06-24,111,partial
2021-06-26,11,full
2021-06-28,54,partial
2021-06-29,111,partial
2021-07-01,11,full
2021-07-03,54,partial
2021-07-04,111,partial
2021-07-06,11,full
2021-07-08,54,partial
2021-07-09,111,partial
2021-07-11,11,full
2021-07-13,54,partial
2021-07-14,111,partial
2021-07-16,11,full
2021-07-18,54,partial
2021-07-19,111,partial
2021-07-21,11,full
2021-07-23,54,partial
2021-07-24,111,partial
2021-07-26,11,full
2021-07-28,54,partial
2021-07-29,111,partial
2021-07-31,11,full
2021-08-02,54,partial
2021-08-03,111,partial
2021-08-05,11,full
2021-08-07,54,partial
2021-08-08,111,partial
2021-08-10,11,full
2021-08-12,54,partial
2021-08-13,111,partial
2021-08-15,11,full
2021-08-17,54,partial
2021-08-18,111,partial
2021-08-20,11,full
2021-08-22,54,partial
2021-08-23,111,partial
2021-08-25,11,full
2021-08-27,54,partial
2021-08-28,111,partial
2021-08-30,11,full
2021-09-01,54,partial
2021-09-02,111,partial
2021-09-04,11,full
2021-09-06,54,partial
2021-09-07,111,partial
2021-09-09,11,full
2021-09-11,54,partial
2021-09-12,111,partial
2021-09-14,11,full
2021-09-16,54,partial
2021-09-17,111,partial
2021-09-19,11,full
2021-09-21,54,partial
2021-09-22,111,partial
2021-09-24,11,full
2021-09-26,54,partial
2021-09-27,111,partial
2021-09-29,11,full
2021-10-01,54,partial
2021-10-02,111,partial
2021-10-04,11,full
2021-10-06,54,partial
2021-10-07,111,partial
2021-10-09,11,full
2021-10-11,54,partial
2021-10-12,111,partial
2021-10-14,11,full
2021-10-16,54,partial
2021-10-17,111,partial
2021-10-19,11,full
2021-10-21,54,partial
2021-10-22,111,partial
2021-10-24,11,full
2021-10-26,54,partial
2021-10-27,111,partial
2021-10-29,11,full
2021-10-31,54,partial
2021-11-01,111,partial
2021-11-03,11,full
2021-11-05,54,partial
2021-11-06,111,partial
2021-11-08,11,full
2021-11-10,54,partial
2021-11-11,111,partial
2021-11-13,11,full
2021-11-15,54,partial
2021-11-16,111,partial
2021-11-18,11,full
2021-11-20,54,partial
2021-11-21,111,partial
2021-11-23,11,full
2021-11-25,54,partial
2021-11-26,111,partial
2021-11-28,11,full
2021-11-30,54,partial
2021-12-01,111,partial
2021-12-03,11,full
2021-12-05,54,partial
2021-12-06,111,partial
2021-12-08,11,full
2021-12-10,54,partial
2021-12-11,111,partial
2021-12-13,11,full
2021-12-15,54,partial
2021-12-16,111,partial
2021-12-18,11,full
2021-12-20,54,partial
2021-12-21,111,partial
2021-12-23,11,full
2021-12-25,54,partial
2021-12-26,111,partial
2021-12-28,11,full
2021-12-30,54,partial
2021-12-31,111,partial
