date,track,coverage
2021-01-01,39,full
2021-01-02,82,full
2021-01-04,139,full
2021-01-06,39,full
2021-01-07,82,full
2021-01-09,139,full
2021-01-11,39,full
2021-01-12,82,full
2021-01-14,139,full
2021-01-16,39,full
2021-01-17,82,full
2021-01-19,139,full
2021-01-21,39,full
2021-01-22,82,full
2021-01-24,139,full
2021-01-26,39,full
2021-01-27,82,full
2021-01-29,139,full
2021-01-31,39,full
2021-02-01,82,full
2021-02-03,139,full
2021-02-05,39,full
2021-02-06,82,full
2021-02-08,139,full
2021-02-10,39,full
2021-02-11,82,full
2021-02-13,139,full
2021-02-15,39,full
2021-02-16,82,full
2021-02-18,139,full
2021-02-20,39,full
2021-02-21,82,full
2021-02-23,139,full
2021-02-25,39,full
2021-02-26,82,full
2021-02-28,139,full
2021-03-02,39,full
2021-03-03,82,full
2021-03-05,139,full
2021-03-07,39,full
2021-03-08,82,full
2021-03-10,139,full
2021-03-12,39,full
2021-03-13,82,full
2021-03-15,139,full
2021-03-17,39,full
2021-03-18,82,full
2021-03-20,139,full
2021-03-22,39,full
2021-03-23,82,full
2021-03-25,139,full
2021-03-27,39,full
2021-03-28,82,full
2021-03-30,139,full
2021-04-01,39,full
2021-04-02,82,full
2021-04-04,139,full
2021-04-06,39,full
2021-04-07,82,full
2021-04-09,139,full
2021-04-11,39,full
2021-04-12,82,full
2021-04-14,139,full
2021-04-16,39,full
2021-04-17,82,full
2021-04-19,139,full
2021-04-21,39,full
2021-04-22,82,full
2021-04-24,139,full
2021-04-26,39,full
2021-04-27,82,full
2021-04-29,139,full
2021-05-01,39,full
2021-05-02,82,full
2021-05-04,139,full
2021-05-06,39,full
2021-05-07,82,full
2021-05-09,139,full
2021-05-11,39,full
2021-05-12,82,full
2021-05-14,139,full
2021-05-16,39,full
2021-05-17,82,full
2021-05-19,139,full
2021-05-21,39,full
2021-05-22,82,full
2021-05-24,139,full
2021-05-26,39,full
2021-05-27,82,full
2021-05-29,139,full
2021-05-31,39,full
2021-06-01,82,full
2021-06-03,139,full
2021-06-05,39,full
2021-06-06,82,full
2021-06-08,139,full
2021-06-10,39,full
2021-06-11,82,full
2021-06-13,139,full
2021-06-15,39,full
2021-06-16,82,full
2021-06-18,139,full
2021-06-20,39,full
2021-06-21,82,full
2021-06-23,139,full
2021-06-25,39,full
2021-06-26,82,full
2021-06-28,139,full
2021-06-30,39,full
2021-07-01,82,full
2021-07-03,139,full
2021-07-05,39,full
2021-07-06,82,full
2021-07-08,139,full
2021-07-10,39,full
2021-07-11,82,full
2021-07-13,139,full
2021-07-15,39,full
2021-07-16,82,full
2021-07-18,139,full
2021-07-20,39,full
2021-07-21,82,full
2021-07-23,139,full
2021-07-25,39,full
2021-07-26,82,full
2021-07-28,139,full
2021-07-30,39,full
2021-07-31,82,full
2021-08-02,139,full
2021-08-04,39,full
2021-08-05,82,full
2021-08-07,139,full
2021-08-09,39,full
2021-08-10,82,full
2021-08-12,139,full
2021-08-14,39,full
2021-08-15,82,full
2021-08-17,139,full
2021-08-19,39,full
2021-08-20,82,full
2021-08-22,139,full
2021-08-24,39,full
2021-08-25,82,full
2021-08-27,139,full
2021-08-29,39,full
2021-08-30,82,full
2021-09-01,139,full
2021-09-03,39,full
2021-09-04,82,full
2021-09-06,139,full
2021-09-08,39,full
2021-09-09,82,full
2021-09-11,139,full
2021-09-13,39,full
2021-09-14,82,full
2021-09-16,139,full
2021-09-18,39,full
2021-09-19,82,full
2021-09-21,139,full
2021-09-23,39,full
2021-09-24,82,full
2021-09-26,139,full
2021-09-28,39,full
2021-09-29,82,full
2021-10-01,139,full
2021-10-03,39,full
2021-10-04,82,full
2021-10-06,139,full
2021-10-08,39,full
2021-10-09,82,full
2021-10-11,139,full
2021-10-13,39,full
2021-10-14,82,full
2021-10-16,139,full
2021-10-18,39,full
2021-10-19,82,full
2021-10-21,139,full
2021-10-23,39,full
2021-10-24,82,full
2021-10-26,139,full
2021-10-28,39,full
2021-10-29,82,full
2021-10-31,139,full
2021-11-02,39,full
2021-11-03,82,full
2021-11-05,139,full
2021-11-07,39,full
2021-11-08,82,full
2021-11-10,139,full
2021-11-12,39,full
2021-11-13,82,full
2021-11-15,139,full
2021-11-17,39,full
2021-11-18,82,full
2021-11-20,139,full
2021-11-22,39,full
2021-11-23,82,full
2021-11-25,139,full
2021-11-27,39,full
2021-11-28,82,full
2021-11-30,139,full
2021-12-02,39,full
2021-12-03,82,full
2021-12-05,139,full
2021-12-07,39,full
2021-12-08,82,full
2021-12-10,139,full
2021-12-12,39,full
2021-12-13,82,full
2021-12-15,139,full
2021-12-17,39,full
2021-12-18,82,full
2021-12-20,139,full
2021-12-22,39,full
2021-12-23,82,full
2021-12-25,139,full
2021-12-27,39,full
2021-12-28,82,full
2021-12-30,139,full
