date,track,coverage
2023-01-03,98,partial
2023-01-05,55,full
2023-01-08,98,partial
2023-01-10,55,full
2023-01-13,98,partial
2023-01-15,55,full
2023-01-18,98,partial
2023-01-20,55,full
2023-01-23,98,partial
2023-01-25,55,full
2023-01-28,98,partial
2023-01-30,55,full
2023-02-02,98,partial
2023-02-04,55,full
2023-02-07,98,partial
2023-02-09,55,full
2023-02-12,98,partial
2023-02-14,55,full
2023-02-17,98,partial
2023-02-19,55,full
2023-02-22,98,partial
2023-02-24,55,full
2023-02-27,98,partial
2023-03-01,55,full
2023-03-04,98,partial
2023-03-06,55,full
2023-03-09,98,partial
2023-03-11,55,full
2023-03-14,98,partial
2023-03-16,55,full
2023-03-19,98,partial
2023-03-21,55,full
2023-03-24,98,partial
2023-03-26,55,full
2023-03-29,98,partial
2023-03-31,55,full
2023-04-03,98,partial
2023-04-05,55,full
2023-04-08,98,partial
2023-04-10,55,full
2023-04-13,98,partial
2023-04-15,55,full
2023-04-18,98,partial
2023-04-20,55,full
2023-04-23,98,partial
2023-04-25,55,full
2023-04-28,98,partial
2023-04-30,55,full
2023-05-03,98,partial
2023-05-05,55,full
2023-05-08,98,partial
2023-05-10,55,full
2023-05-13,98,partial
2023-05-15,55,full
2023-05-18,98,partial
2023-05-20,55,full
2023-05-23,98,partial
2023-05-25,55,full
2023-05-28,98,partial
2023-05-30,55,full
2023-06-02,98,partial
2023-06-04,55,full
2023-06-07,98,partial
2023-06-09,55,full
2023-06-12,98,partial
2023-06-14,55,full
2023-06-17,98,partial
2023-06-19,55,full
2023-06-22,98,partial
2023-06-24,55,full
2023-06-27,98,partial
2023-06-29,55,full
2023-07-02,98,partial
2023-07-04,55,full
2023-07-07,98,partial
2023-07-09,55,full
2023-07-12,98,partial
2023-07-14,55,full
2023-07-17,98,partial
2023-07-19,55,full
2023-07-22,98,partial
2023-07-24,55,full
2023-07-27,98,partial
2023-07-29,55,full
2023-08-01,98,partial
2023-08-03,55,full
2023-08-06,98,partial
2023-08-08,55,full
2023-08-11,98,partial
2023-08-13,55,full
2023-08-16,98,partial
2023-08-18,55,full
2023-08-21,98,partial
2023-08-23,55,full
2023-08-26,98,partial
2023-08-28,55,full
2023-08-31,98,partial
2023-09-02,55,full
2023-09-05,98,partial
2023-09-07,55,full
2023-09-10,98,partial
2023-09-12,55,full
2023-09-15,98,partial
2023-09-17,55,full
2023-09-20,98,partial
2023-09-22,55,full
2023-09-25,98,partial
2023-09-27,55,full
2023-09-30,98,partial
2023-10-02,55,full
2023-10-05,98,partial
2023-10-07,55,full
2023-10-10,98,partial
2023-10-12,55,full
2023-10-15,98,partial
2023-10-17,55,full
2023-10-20,98,partial
2023-10-22,55,full
2023-10-25,98,partial
2023-10-27,55,full
2023-10-30,98,partial
2023-11-01,55,full
2023-11-04,98,partial
2023-11-06,55,full
2023-11-09,98,partial
2023-11-11,55,full
2023-11-14,98,partial
2023-11-16,55,full
2023-11-19,98,partial
2023-11-21,55,full
2023-11-24,98,partial
2023-11-26,55,full
2023-11-29,98,partial
2023-12-01,55,full
2023-12-04,98,partial
2023-12-06,55,full
2023-12-09,98,partial
2023-12-11,55,full
2023-12-14,98,partial
2023-12-16,55,full
2023-12-19,98,partial
2023-12-21,55,full
2023-12-24,98,partial
2023-12-26,55,full
2023-12-29,98,partial
2023-12-31,55,full
