date,track,coverage
2024-01-02,5,full
2024-01-04,48,full
2024-01-05,105,full
2024-01-07,5,full
2024-01-09,48,full
2024-01-10,105,full
2024-01-12,5,full
2024-01-14,48,full
2024-01-15,105,full
2024-01-17,5,full
2024-01-19,48,full
2024-01-20,105,full
2024-01-22,5,full
2024-01-24,48,full
2024-01-25,105,full
2024-01-27,5,full
2024-01-29,48,full
2024-01-30,105,full
2024-02-01,5,full
2024-02-03,48,full
2024-02-04,105,full
2024-02-06,5,full
2024-02-08,48,full
2024-02-09,105,full
2024-02-11,5,full
2024-02-13,48,full
2024-02-14,105,full
2024-02-16,5,full
2024-02-18,48,full
2024-02-19,105,full
2024-02-21,5,full
2024-02-23,48,full
2024-02-24,105,full
2024-02-26,5,full
2024-02-28,48,full
2024-02-29,105,full
2024-03-02,5,full
2024-03-04,48,full
2024-03-05,105,full
2024-03-07,5,full
2024-03-09,48,full
2024-03-10,105,full
2024-03-12,5,full
2024-03-14,48,full
2024-03-15,105,full
2024-03-17,5,full
2024-03-19,48,full
2024-03-20,105,full
2024-03-22,5,full
2024-03-24,48,full
2024-03-25,105,full
2024-03-27,5,full
2024-03-29,48,full
2024-03-30,105,full
2024-04-01,5,full
2024-04-03,48,full
2024-04-04,105,full
2024-04-06,5,full
2024-04-08,48,full
2024-04-09,105,full
2024-04-11,5,full
2024-04-13,48,full
2024-04-14,105,full
2024-04-16,5,full
2024-04-18,48,full
2024-04-19,105,full
2024-04-21,5,full
2024-04-23,48,full
2024-04-24,105,full
2024-04-26,5,full
2024-04-28,48,full
2024-04-29,105,full
2024-05-01,5,full
2024-05-03,48,full
2024-05-04,105,full
2024-05-06,5,full
2024-05-08,48,full
2024-05-09,105,full
2024-05-11,5,full
2024-05-13,48,full
2024-05-14,105,full
2024-05-16,5,full
2024-05-18,48,full
2024-05-19,105,full
2024-05-21,5,full
2024-05-23,48,full
2024-05-24,105,full
2024-05-26,5,full
2024-05-28,48,full
2024-05-29,105,full
2024-05-31,5,full
2024-06-02,48,full
2024-06-03,105,full
2024-06-05,5,full
2024-06-07,48,full
2024-06-08,105,full
2024-06-10,5,full
2024-06-12,48,full
2024-06-13,105,full
2024-06-15,5,full
2024-06-17,48,full
2024-06-18,105,full
2024-06-20,5,full
2024-06-22,48,full
2024-06-23,105,full
2024-06-25,5,full
2024-06-27,48,full
2024-06-28,105,full
2024-06-30,5,full
2024-07-02,48,full
2024-07-03,105,full
2024-07-05,5,full
2024-07-07,48,full
2024-07-08,105,full
2024-07-10,5,full
2024-07-12,48,full
2024-07-13,105,full
2024-07-15,5,full
2024-07-17,48,full
2024-07-18,105,full
2024-07-20,5,full
2024-07-22,48,full
2024-07-23,105,full
2024-07-25,5,full
2024-07-27,48,full
2024-07-28,105,full
2024-07-30,5,full
2024-08-01,48,full
2024-08-02,105,full
2024-08-04,5,full
2024-08-06,48,full
2024-08-07,105,full
2024-08-09,5,full
2024-08-11,48,full
2024-08-12,105,full
2024-08-14,5,full
2024-08-16,48,full
2024-08-17,105,full
2024-08-19,5,full
2024-08-21,48,full
2024-08-22,105,full
2024-08-24,5,full
2024-08-26,48,full
2024-08-27,105,full
2024-08-29,5,full
2024-08-31,48,full
2024-09-01,105,full
2024-09-03,5,full
2024-09-05,48,full
2024-09-06,105,full
2024-09-08,5,full
2024-09-10,48,full
2024-09-11,105,full
2024-09-13,5,full
2024-09-15,48,full
2024-09-16,105,full
2024-09-18,5,full
2024-09-20,48,full
2024-09-21,105,full
2024-09-23,5,full
2024-09-25,48,full
2024-09-26,105,full
2024-09-28,5,full
2024-09-30,48,full
2024-10-01,105,full
2024-10-03,5,full
2024-10-05,48,full
2024-10-06,105,full
2024-10-08,5,full
2024-10-10,48,full
2024-10-11,105,full
2024-10-13,5,full
2024-10-15,48,full
2024-10-16,105,full
2024-10-18,5,full
2024-10-20,48,full
2024-10-21,105,full
2024-10-23,5,full
2024-10-25,48,full
2024-10-26,105,full
2024-10-28,5,full
2024-10-30,48,full
2024-10-31,105,full
2024-11-02,5,full
2024-11-04,48,full
2024-11-05,105,full
2024-11-07,5,full
2024-11-09,48,full
2024-11-10,105,full
2024-11-12,5,full
2024-11-14,48,full
2024-11-15,105,full
2024-11-17,5,full
2024-11-19,48,full
2024-11-20,105,full
2024-11-22,5,full
2024-11-24,48,full
2024-11-25,105,full
2024-11-27,5,full
2024-11-29,48,full
2024-11-30,105,full
2024-12-02,5,full
2024-12-04,48,full
2024-12-05,105,full
2024-12-07,5,full
2024-12-09,48,full
2024-12-10,105,full
2024-12-12,5,full
2024-12-14,48,full
2024-12-15,105,full
2024-12-17,5,full
2024-12-19,48,full
2024-12-20,105,full
2024-12-22,5,full
2024-12-24,48,full
2024-12-25,105,full
2024-12-27,5,full
2024-12-29,48,full
2024-12-30,105,full
