date,path,coverage
2021-01-01,18,full
2021-01-10,19,full
2021-01-17,18,full
2021-01-26,19,full
2021-02-02,18,full
2021-02-11,19,full
2021-02-18,18,full
2021-02-27,19,full
2021-03-06,18,full
2021-03-15,19,full
2021-03-22,18,full
2021-03-31,19,full
2021-04-07,18,full
2021-04-16,19,full
2021-04-23,18,full
2021-05-02,19,full
2021-05-09,18,full
2021-05-18,19,full
2021-05-25,18,full
2021-06-03,19,full
2021-06-10,18,full
2021-06-19,19,full
2021-06-26,18,full
2021-07-05,19,full
2021-07-12,18,full
2021-07-21,19,full
2021-07-28,18,full
2021-08-06,19,full
2021-08-13,18,full
2021-08-22,19,full
2021-08-29,18,full
2021-09-07,19,full
2021-09-14,18,full
2021-09-23,19,full
2021-09-30,18,full
2021-10-09,19,full
2021-10-16,18,full
2021-10-25,19,full
2021-11-01,18,full
2021-11-10,19,full
2021-11-17,18,full
2021-11-26,19,full
2021-12-03,18,full
2021-12-12,19,full
2021-12-19,18,full
2021-12-28,19,full
