date,track,coverage
2023-01-02,31,full
2023-01-04,74,full
2023-01-05,117,full
2023-01-07,31,full
2023-01-09,74,full
2023-01-10,117,full
2023-01-12,31,full
2023-01-14,74,full
2023-01-15,117,full
2023-01-17,31,full
2023-01-19,74,full
2023-01-20,117,full
2023-01-22,31,full
2023-01-24,74,full
2023-01-25,117,full
2023-01-27,31,full
2023-01-29,74,full
2023-01-30,117,full
2023-02-01,31,full
2023-02-03,74,full
2023-02-04,117,full
2023-02-06,31,full
2023-02-08,74,full
2023-02-09,117,full
2023-02-11,31,full
2023-02-13,74,full
2023-02-14,117,full
2023-02-16,31,full
2023-02-18,74,full
2023-02-19,117,full
2023-02-21,31,full
2023-02-23,74,full
2023-02-24,117,full
2023-02-26,31,full
2023-02-28,74,full
2023-03-01,117,full
2023-03-03,31,full
2023-03-05,74,full
2023-03-06,117,full
2023-03-08,31,full
2023-03-10,74,full
2023-03-11,117,full
2023-03-13,31,full
2023-03-15,74,full
2023-03-16,117,full
2023-03-18,31,full
2023-03-20,74,full
2023-03-21,117,full
2023-03-23,31,full
2023-03-25,74,full
2023-03-26,117,full
2023-03-28,31,full
2023-03-30,74,full
2023-03-31,117,full
2023-04-02,31,full
2023-04-04,74,full
2023-04-05,117,full
2023-04-07,31,full
2023-04-09,74,full
2023-04-10,117,full
2023-04-12,31,full
2023-04-14,74,full
2023-04-15,117,full
2023-04-17,31,full
2023-04-19,74,full
2023-04-20,117,full
2023-04-22,31,full
2023-04-24,74,full
2023-04-25,117,full
2023-04-27,31,full
2023-04-29,74,full
2023-04-30,117,full
2023-05-02,31,full
2023-05-04,74,full
2023-05-05,117,full
2023-05-07,31,full
2023-05-09,74,full
2023-05-10,117,full
2023-05-12,31,full
2023-05-14,74,full
2023-05-15,117,full
2023-05-17,31,full
2023-05-19,74,full
2023-05-20,117,full
2023-05-22,31,full
2023-05-24,74,full
2023-05-25,117,full
2023-05-27,31,full
2023-05-29,74,full
2023-05-30,117,full
2023-06-01,31,full
2023-06-03,74,full
2023-06-04,117,full
2023-06-06,31,full
2023-06-08,74,full
2023-06-09,117,full
2023-06-11,31,full
2023-06-13,74,full
2023-06-14,117,full
2023-06-16,31,full
2023-06-18,74,full
2023-06-19,117,full
2023-06-21,31,full
2023-06-23,74,full
2023-06-24,117,full
2023-06-26,31,full
2023-06-28,74,full
2023-06-29,117,full
2023-07-01,31,full
2023-07-03,74,full
2023-07-04,117,full
2023-07-06,31,full
2023-07-08,74,full
2023-07-09,117,full
2023-07-11,31,full
2023-07-13,74,full
2023-07-14,117,full
2023-07-16,31,full
2023-07-18,74,full
2023-07-19,117,full
2023-07-21,31,full
2023-07-23,74,full
2023-07-24,117,full
2023-07-26,31,full
2023-07-28,74,full
2023-07-29,117,full
2023-07-31,31,full
2023-08-02,74,full
2023-08-03,117,full
2023-08-05,31,full
2023-08-07,74,full
2023-08-08,117,full
2023-08-10,31,full
2023-08-12,74,full
2023-08-13,117,full
2023-08-15,31,full
2023-08-17,74,full
2023-08-18,117,full
2023-08-20,31,full
2023-08-22,74,full
2023-08-23,117,full
2023-08-25,31,full
2023-08-27,74,full
2023-08-28,117,full
2023-08-30,31,full
2023-09-01,74,full
2023-09-02,117,full
2023-09-04,31,full
2023-09-06,74,full
2023-09-07,117,full
2023-09-09,31,full
2023-09-11,74,full
2023-09-12,117,full
2023-09-14,31,full
2023-09-16,74,full
2023-09-17,117,full
2023-09-19,31,full
2023-09-21,74,full
2023-09-22,117,full
2023-09-24,31,full
2023-09-26,74,full
2023-09-27,117,full
2023-09-29,31,full
2023-10-01,74,full
2023-10-02,117,full
2023-10-04,31,full
2023-10-06,74,full
2023-10-07,117,full
2023-10-09,31,full
2023-10-11,74,full
2023-10-12,117,full
2023-10-14,31,full
2023-10-16,74,full
2023-10-17,117,full
2023-10-19,31,full
2023-10-21,74,full
2023-10-22,117,full
2023-10-24,31,full
2023-10-26,74,full
2023-10-27,117,full
2023-10-29,31,full
2023-10-31,74,full
2023-11-01,117,full
2023-11-03,31,full
2023-11-05,74,full
2023-11-06,117,full
2023-11-08,31,full
2023-11-10,74,full
2023-11-11,117,full
2023-11-13,31,full
2023-11-15,74,full
2023-11-16,117,full
2023-11-18,31,full
2023-11-20,74,full
2023-11-21,117,full
2023-11-23,31,full
2023-11-25,74,full
2023-11-26,117,full
2023-11-28,31,full
2023-11-30,74,full
2023-12-01,117,full
2023-12-03,31,full
2023-12-05,74,full
2023-12-06,117,full
2023-12-08,31,full
2023-12-10,74,full
2023-12-11,117,full
2023-12-13,31,full
2023-12-15,74,full
2023-12-16,117,full
2023-12-18,31,full
2023-12-20,74,full
2023-12-21,117,full
2023-12-23,31,full
2023-12-25,74,full
2023-12-26,117,full
2023-12-28,31,full
2023-12-30,74,full
2023-12-31,117,full
