date,track,coverage
2021-01-01,55,full
2021-01-03,98,full
2021-01-05,141,full
2021-01-06,55,full
2021-01-08,98,full
2021-01-10,141,full
2021-01-11,55,full
2021-01-13,98,full
2021-01-15,141,full
2021-01-16,55,full
2021-01-18,98,full
2021-01-20,141,full
2021-01-21,55,full
2021-01-23,98,full
2021-01-25,141,full
2021-01-26,55,full
2021-01-28,98,full
2021-01-30,141,full
2021-01-31,55,full
2021-02-02,98,full
2021-02-04,141,full
2021-02-05,55,full
2021-02-07,98,full
2021-02-09,141,full
2021-02-10,55,full
2021-02-12,98,full
2021-02-14,141,full
2021-02-15,55,full
2021-02-17,98,full
2021-02-19,141,full
2021-02-20,55,full
2021-02-22,98,full
2021-02-24,141,full
2021-02-25,55,full
2021-02-27,98,full
2021-03-01,141,full
2021-03-02,55,full
2021-03-04,98,full
2021-03-06,141,full
2021-03-07,55,full
2021-03-09,98,full
2021-03-11,141,full
2021-03-12,55,full
2021-03-14,98,full
2021-03-16,141,full
2021-03-17,55,full
2021-03-19,98,full
2021-03-21,141,full
2021-03-22,55,full
2021-03-24,98,full
2021-03-26,141,full
2021-03-27,55,full
2021-03-29,98,full
2021-03-31,141,full
2021-04-01,55,full
2021-04-03,98,full
2021-04-05,141,full
2021-04-06,55,full
2021-04-08,98,full
2021-04-10,141,full
2021-04-11,55,full
2021-04-13,98,full
2021-04-15,141,full
2021-04-16,55,full
2021-04-18,98,full
2021-04-20,141,full
2021-04-21,55,full
2021-04-23,98,full
2021-04-25,141,full
2021-04-26,55,full
2021-04-28,98,full
2021-04-30,141,full
2021-05-01,55,full
2021-05-03,98,full
2021-05-05,141,full
2021-05-06,55,full
2021-05-08,98,full
2021-05-10,141,full
2021-05-11,55,full
2021-05-13,98,full
2021-05-15,141,full
2021-05-16,55,full
2021-05-18,98,full
2021-05-20,141,full
2021-05-21,55,full
2021-05-23,98,full
2021-05-25,141,full
2021-05-26,55,full
2021-05-28,98,full
2021-05-30,141,full
2021-05-31,55,full
2021-06-02,98,full
2021-06-04,141,full
2021-06-05,55,full
2021-06-07,98,full
2021-06-09,141,full
2021-06-10,55,full
2021-06-12,98,full
2021-06-14,141,full
2021-06-15,55,full
2021-06-17,98,full
2021-06-19,141,full
2021-06-20,55,full
2021-06-22,98,full
2021-06-24,141,full
2021-06-25,55,full
2021-06-27,98,full
2021-06-29,141,full
2021-06-30,55,full
2021-07-02,98,full
2021-07-04,141,full
2021-07-05,55,full
2021-07-07,98,full
2021-07-09,141,full
2021-07-10,55,full
2021-07-12,98,full
2021-07-14,141,full
2021-07-15,55,full
2021-07-17,98,full
2021-07-19,141,full
2021-07-20,55,full
2021-07-22,98,full
2021-07-24,141,full
2021-07-25,55,full
2021-07-27,98,full
2021-07-29,141,full
2021-07-30,55,full
2021-08-01,98,full
2021-08-03,141,full
2021-08-04,55,full
2021-08-06,98,full
2021-08-08,141,full
2021-08-09,55,full
2021-08-11,98,full
2021-08-13,141,full
2021-08-14,55,full
2021-08-16,98,full
2021-08-18,141,full
2021-08-19,55,full
2021-08-21,98,full
2021-08-23,141,full
2021-08-24,55,full
2021-08-26,98,full
2021-08-28,141,full
2021-08-29,55,full
2021-08-31,98,full
2021-09-02,141,full
2021-09-03,55,full
2021-09-05,98,full
2021-09-07,141,full
2021-09-08,55,full
2021-09-10,98,full
2021-09-12,141,full
2021-09-13,55,full
2021-09-15,98,full
2021-09-17,141,full
2021-09-18,55,full
2021-09-20,98,full
2021-09-22,141,full
2021-09-23,55,full
2021-09-25,98,full
2021-09-27,141,full
2021-09-28,55,full
2021-09-30,98,full
2021-10-02,141,full
2021-10-03,55,full
2021-10-05,98,full
2021-10-07,141,full
2021-10-08,55,full
2021-10-10,98,full
2021-10-12,141,full
2021-10-13,55,full
2021-10-15,98,full
2021-10-17,141,full
2021-10-18,55,full
2021-10-20,98,full
2021-10-22,141,full
2021-10-23,55,full
2021-10-25,98,full
2021-10-27,141,full
2021-10-28,55,full
2021-10-30,98,full
2021-11-01,141,full
2021-11-02,55,full
2021-11-04,98,full
2021-11-06,141,full
2021-11-07,55,full
2021-11-09,98,full
2021-11-11,141,full
2021-11-12,55,full
2021-11-14,98,full
2021-11-16,141,full
2021-11-17,55,full
2021-11-19,98,full
2021-11-21,141,full
2021-11-22,55,full
2021-11-24,98,full
2021-11-26,141,full
2021-11-27,55,full
2021-11-29,98,full
2021-12-01,141,full
2021-12-02,55,full
2021-12-04,98,full
2021-12-06,141,full
2021-12-07,55,full
2021-12-09,98,full
2021-12-11,141,full
2021-12-12,55,full
2021-12-14,98,full
2021-12-16,141,full
2021-12-17,55,full
2021-12-19,98,full
2021-12-21,141,full
2021-12-22,55,full
2021-12-24,98,full
2021-12-26,141,full
2021-12-27,55,full
2021-12-29,98,full
2021-12-31,141,full
