date,track,coverage
2021-01-01,10,full
2021-01-02,67,full
2021-01-04,110,full
2021-01-06,10,full
2021-01-07,67,full
2021-01-09,110,full
2021-01-11,10,full
2021-01-12,67,full
2021-01-14,110,full
2021-01-16,10,full
2021-01-17,67,full
2021-01-19,110,full
2021-01-21,10,full
2021-01-22,67,full
2021-01-24,110,full
2021-01-26,10,full
2021-01-27,67,full
2021-01-29,110,full
2021-01-31,10,full
2021-02-01,67,full
2021-02-03,110,full
2021-02-05,10,full
2021-02-06,67,full
2021-02-08,110,full
2021-02-10,10,full
2021-02-11,67,full
2021-02-13,110,full
2021-02-15,10,full
2021-02-16,67,full
2021-02-18,110,full
2021-02-20,10,full
2021-02-21,67,full
2021-02-23,110,full
2021-02-25,10,full
2021-02-26,67,full
2021-02-28,110,full
2021-03-02,10,full
2021-03-03,67,full
2021-03-05,110,full
2021-03-07,10,full
2021-03-08,67,full
2021-03-10,110,full
2021-03-12,10,full
2021-03-13,67,full
2021-03-15,110,full
2021-03-17,10,full
2021-03-18,67,full
2021-03-20,110,full
2021-03-22,10,full
2021-03-23,67,full
2021-03-25,110,full
2021-03-27,10,full
2021-03-28,67,full
2021-03-30,110,full
2021-04-01,10,full
2021-04-02,67,full
2021-04-04,110,full
2021-04-06,10,full
2021-04-07,67,full
2021-04-09,110,full
2021-04-11,10,full
2021-04-12,67,full
2021-04-14,110,full
2021-04-16,10,full
2021-04-17,67,full
2021-04-19,110,full
2021-04-21,10,full
2021-04-22,67,full
2021-04-24,110,full
2021-04-26,10,full
2021-04-27,67,full
2021-04-29,110,full
2021-05-01,10,full
2021-05-02,67,full
2021-05-04,110,full
2021-05-06,10,full
2021-05-07,67,full
2021-05-09,110,full
2021-05-11,10,full
2021-05-12,67,full
2021-05-14,110,full
2021-05-16,10,full
2021-05-17,67,full
2021-05-19,110,full
2021-05-21,10,full
2021-05-22,67,full
2021-05-24,110,full
2021-05-26,10,full
2021-05-27,67,full
2021-05-29,110,full
2021-05-31,10,full
2021-06-01,67,full
2021-06-03,110,full
2021-06-05,10,full
2021-06-06,67,full
2021-06-08,110,full
2021-06-10,10,full
2021-06-11,67,full
2021-06-13,110,full
2021-06-15,10,full
2021-06-16,67,full
2021-06-18,110,full
2021-06-20,10,full
2021-06-21,67,full
2021-06-23,110,full
2021-06-25,10,full
2021-06-26,67,full
2021-06-28,110,full
2021-06-30,10,full
2021-07-01,67,full
2021-07-03,110,full
2021-07-05,10,full
2021-07-06,67,full
2021-07-08,110,full
2021-07-10,10,full
2021-07-11,67,full
2021-07-13,110,full
2021-07-15,10,full
2021-07-16,67,full
2021-07-18,110,full
2021-07-20,10,full
2021-07-21,67,full
2021-07-23,110,full
2021-07-25,10,full
2021-07-26,67,full
2021-07-28,110,full
2021-07-30,10,full
2021-07-31,67,full
2021-08-02,110,full
2021-08-04,10,full
2021-08-05,67,full
2021-08-07,110,full
2021-08-09,10,full
2021-08-10,67,full
2021-08-12,110,full
2021-08-14,10,full
2021-08-15,67,full
2021-08-17,110,full
2021-08-19,10,full
2021-08-20,67,full
2021-08-22,110,full
2021-08-24,10,full
2021-08-25,67,full
2021-08-27,110,full
2021-08-29,10,full
2021-08-30,67,full
2021-09-01,110,full
2021-09-03,10,full
2021-09-04,67,full
2021-09-06,110,full
2021-09-08,10,full
2021-09-09,67,full
2021-09-11,110,full
2021-09-13,10,full
2021-09-14,67,full
2021-09-16,110,full
2021-09-18,10,full
2021-09-19,67,full
2021-09-21,110,full
2021-09-23,10,full
2021-09-24,67,full
2021-09-26,110,full
2021-09-28,10,full
2021-09-29,67,full
2021-10-01,110,full
2021-10-03,10,full
2021-10-04,67,full
2021-10-06,110,full
2021-10-08,10,full
2021-10-09,67,full
2021-10-11,110,full
2021-10-13,10,full
2021-10-14,67,full
2021-10-16,110,full
2021-10-18,10,full
2021-10-19,67,full
2021-10-21,110,full
2021-10-23,10,full
2021-10-24,67,full
2021-10-26,110,full
2021-10-28,10,full
2021-10-29,67,full
2021-10-31,110,full
2021-11-02,10,full
2021-11-03,67,full
2021-11-05,110,full
2021-11-07,10,full
2021-11-08,67,full
2021-11-10,110,full
2021-11-12,10,full
2021-11-13,67,full
2021-11-15,110,full
2021-11-17,10,full
2021-11-18,67,full
2021-11-20,110,full
2021-11-22,10,full
2021-11-23,67,full
2021-11-25,110,full
2021-11-27,10,full
2021-11-28,67,full
2021-11-30,110,full
2021-12-02,10,full
2021-12-03,67,full
2021-12-05,110,full
2021-12-07,10,full
2021-12-08,67,full
2021-12-10,110,full
2021-12-12,10,full
2021-12-13,67,full
2021-12-15,110,full
2021-12-17,10,full
2021-12-18,67,full
2021-12-20,110,full
2021-12-22,10,full
2021-12-23,67,full
2021-12-25,110,full
2021-12-27,10,full
2021-12-28,67,full
2021-12-30,110,full
