date,track,coverage
2024-01-01,32,full
2024-01-03,89,full
2024-01-04,132,full
2024-01-06,32,full
2024-01-08,89,full
2024-01-09,132,full
2024-01-11,32,full
2024-01-13,89,full
2024-01-14,132,full
2024-01-16,32,full
2024-01-18,89,full
2024-01-19,132,full
2024-01-21,32,full
2024-01-23,89,full
2024-01-24,132,full
2024-01-26,32,full
2024-01-28,89,full
2024-01-29,132,full
2024-01-31,32,full
2024-02-02,89,full
2024-02-03,132,full
2024-02-05,32,full
2024-02-07,89,full
2024-02-08,132,full
2024-02-10,32,full
2024-02-12,89,full
2024-02-13,132,full
2024-02-15,32,full
2024-02-17,89,full
2024-02-18,132,full
2024-02-20,32,full
2024-02-22,89,full
2024-02-23,132,full
2024-02-25,32,full
2024-02-27,89,full
2024-02-28,132,full
2024-03-01,32,full
2024-03-03,89,full
2024-03-04,132,full
2024-03-06,32,full
2024-03-08,89,full
2024-03-09,132,full
2024-03-11,32,full
2024-03-13,89,full
2024-03-14,132,full
2024-03-16,32,full
2024-03-18,89,full
2024-03-19,132,full
2024-03-21,32,full
2024-03-23,89,full
2024-03-24,132,full
2024-03-26,32,full
2024-03-28,89,full
2024-03-29,132,full
2024-03-31,32,full
2024-04-02,89,full
2024-04-03,132,full
2024-04-05,32,full
2024-04-07,89,full
2024-04-08,132,full
2024-04-10,32,full
2024-04-12,89,full
2024-04-13,132,full
2024-04-15,32,full
2024-04-17,89,full
2024-04-18,132,full
2024-04-20,32,full
2024-04-22,89,full
2024-04-23,132,full
2024-04-25,32,full
2024-04-27,89,full
2024-04-28,132,full
2024-04-30,32,full
2024-05-02,89,full
2024-05-03,132,full
2024-05-05,32,full
2024-05-07,89,full
2024-05-08,132,full
2024-05-10,32,full
2024-05-12,89,full
2024-05-13,132,full
2024-05-15,32,full
2024-05-17,89,full
2024-05-18,132,full
2024-05-20,32,full
2024-05-22,89,full
2024-05-23,132,full
2024-05-25,32,full
2024-05-27,89,full
2024-05-28,132,full
2024-05-30,32,full
2024-06-01,89,full
2024-06-02,132,full
2024-06-04,32,full
2024-06-06,89,full
2024-06-07,132,full
2024-06-09,32,full
2024-06-11,89,full
2024-06-12,132,full
2024-06-14,32,full
2024-06-16,89,full
2024-06-17,132,full
2024-06-19,32,full
2024-06-21,89,full
2024-06-22,132,full
2024-06-24,32,full
2024-06-26,89,full
2024-06-27,132,full
2024-06-29,32,full
2024-07-01,89,full
2024-07-02,132,full
2024-07-04,32,full
2024-07-06,89,full
2024-07-07,132,full
2024-07-09,32,full
2024-07-11,89,full
2024-07-12,132,full
2024-07-14,32,full
2024-07-16,89,full
2024-07-17,132,full
2024-07-19,32,full
2024-07-21,89,full
2024-07-22,132,full
2024-07-24,32,full
2024-07-26,89,full
2024-07-27,132,full
2024-07-29,32,full
2024-07-31,89,full
2024-08-01,132,full
2024-08-03,32,full
2024-08-05,89,full
2024-08-06,132,full
2024-08-08,32,full
2024-08-10,89,full
2024-08-11,132,full
2024-08-13,32,full
2024-08-15,89,full
2024-08-16,132,full
2024-08-18,32,full
2024-08-20,89,full
2024-08-21,132,full
2024-08-23,32,full
2024-08-25,89,full
2024-08-26,132,full
2024-08-28,32,full
2024-08-30,89,full
2024-08-31,132,full
2024-09-02,32,full
2024-09-04,89,full
2024-09-05,132,full
2024-09-07,32,full
2024-09-09,89,full
2024-09-10,132,full
2024-09-12,32,full
2024-09-14,89,full
2024-09-15,132,full
2024-09-17,32,full
2024-09-19,89,full
2024-09-20,132,full
2024-09-22,32,full
2024-09-24,89,full
2024-09-25,132,full
2024-09-27,32,full
2024-09-29,89,full
2024-09-30,132,full
2024-10-02,32,full
2024-10-04,89,full
2024-10-05,132,full
2024-10-07,32,full
2024-10-09,89,full
2024-10-10,132,full
2024-10-12,32,full
2024-10-14,89,full
2024-10-15,132,full
2024-10-17,32,full
2024-10-19,89,full
2024-10-20,132,full
2024-10-22,32,full
2024-10-24,89,full
2024-10-25,132,full
2024-10-27,32,full
2024-10-29,89,full
2024-10-30,132,full
2024-11-01,32,full
2024-11-03,89,full
2024-11-04,132,full
2024-11-06,32,full
2024-11-08,89,full
2024-11-09,132,full
2024-11-11,32,full
2024-11-13,89,full
2024-11-14,132,full
2024-11-16,32,full
2024-11-18,89,full
2024-11-19,132,full
2024-11-21,32,full
2024-11-23,89,full
2024-11-24,132,full
2024-11-26,32,full
2024-11-28,89,full
2024-11-29,132,full
2024-12-01,32,full
2024-12-03,89,full
2024-12-04,132,full
2024-12-06,32,full
2024-12-08,89,full
2024-12-09,132,full
2024-12-11,32,full
2024-12-13,89,full
2024-12-14,132,full
2024-12-16,32,full
2024-12-18,89,full
2024-12-19,132,full
2024-12-21,32,full
2024-12-23,89,full
2024-12-24,132,full
2024-12-26,32,full
2024-12-28,89,full
2024-12-29,132,full
2024-12-31,32,full
