date,track,coverage
2024-01-01,35,full
2024-01-03,92,full
2024-01-04,135,full
2024-01-06,35,full
2024-01-08,92,full
2024-01-09,135,full
2024-01-11,35,full
2024-01-13,92,full
2024-01-14,135,full
2024-01-16,35,full
2024-01-18,92,full
2024-01-19,135,full
2024-01-21,35,full
2024-01-23,92,full
2024-01-24,135,full
2024-01-26,35,full
2024-01-28,92,full
2024-01-29,135,full
2024-01-31,35,full
2024-02-02,92,full
2024-02-03,135,full
2024-02-05,35,full
2024-02-07,92,full
2024-02-08,135,full
2024-02-10,35,full
2024-02-12,92,full
2024-02-13,135,full
2024-02-15,35,full
2024-02-17,92,full
2024-02-18,135,full
2024-02-20,35,full
2024-02-22,92,full
2024-02-23,135,full
2024-02-25,35,full
2024-02-27,92,full
2024-02-28,135,full
2024-03-01,35,full
2024-03-03,92,full
2024-03-04,135,full
2024-03-06,35,full
2024-03-08,92,full
2024-03-09,135,full
2024-03-11,35,full
2024-03-13,92,full
2024-03-14,135,full
2024-03-16,35,full
2024-03-18,92,full
2024-03-19,135,full
2024-03-21,35,full
2024-03-23,92,full
2024-03-24,135,full
2024-03-26,35,full
2024-03-28,92,full
2024-03-29,135,full
2024-03-31,35,full
2024-04-02,92,full
2024-04-03,135,full
2024-04-05,35,full
2024-04-07,92,full
2024-04-08,135,full
2024-04-10,35,full
2024-04-12,92,full
2024-04-13,135,full
2024-04-15,35,full
2024-04-17,92,full
2024-04-18,135,full
2024-04-20,35,full
2024-04-22,92,full
2024-04-23,135,full
2024-04-25,35,full
2024-04-27,92,full
2024-04-28,135,full
2024-04-30,35,full
2024-05-02,92,full
2024-05-03,135,full
2024-05-05,35,full
2024-05-07,92,full
2024-05-08,135,full
2024-05-10,35,full
2024-05-12,92,full
2024-05-13,135,full
2024-05-15,35,full
2024-05-17,92,full
2024-05-18,135,full
2024-05-20,35,full
2024-05-22,92,full
2024-05-23,135,full
2024-05-25,35,full
2024-05-27,92,full
2024-05-28,135,full
2024-05-30,35,full
2024-06-01,92,full
2024-06-02,135,full
2024-06-04,35,full
2024-06-06,92,full
2024-06-07,135,full
2024-06-09,35,full
2024-06-11,92,full
2024-06-12,135,full
2024-06-14,35,full
2024-06-16,92,full
2024-06-17,135,full
2024-06-19,35,full
2024-06-21,92,full
2024-06-22,135,full
2024-06-24,35,full
2024-06-26,92,full
2024-06-27,135,full
2024-06-29,35,full
2024-07-01,92,full
2024-07-02,135,full
2024-07-04,35,full
2024-07-06,92,full
2024-07-07,135,full
2024-07-09,35,full
2024-07-11,92,full
2024-07-12,135,full
2024-07-14,35,full
2024-07-16,92,full
2024-07-17,135,full
2024-07-19,35,full
2024-07-21,92,full
2024-07-22,135,full
2024-07-24,35,full
2024-07-26,92,full
2024-07-27,135,full
2024-07-29,35,full
2024-07-31,92,full
2024-08-01,135,full
2024-08-03,35,full
2024-08-05,92,full
2024-08-06,135,full
2024-08-08,35,full
2024-08-10,92,full
2024-08-11,135,full
2024-08-13,35,full
2024-08-15,92,full
2024-08-16,135,full
2024-08-18,35,full
2024-08-20,92,full
2024-08-21,135,full
2024-08-23,35,full
2024-08-25,92,full
2024-08-26,135,full
2024-08-28,35,full
2024-08-30,92,full
2024-08-31,135,full
2024-09-02,35,full
2024-09-04,92,full
2024-09-05,135,full
2024-09-07,35,full
2024-09-09,92,full
2024-09-10,135,full
2024-09-12,35,full
2024-09-14,92,full
2024-09-15,135,full
2024-09-17,35,full
2024-09-19,92,full
2024-09-20,135,full
2024-09-22,35,full
2024-09-24,92,full
2024-09-25,135,full
2024-09-27,35,full
2024-09-29,92,full
2024-09-30,135,full
2024-10-02,35,full
2024-10-04,92,full
2024-10-05,135,full
2024-10-07,35,full
2024-10-09,92,full
2024-10-10,135,full
2024-10-12,35,full
2024-10-14,92,full
2024-10-15,135,full
2024-10-17,35,full
2024-10-19,92,full
2024-10-20,135,full
2024-10-22,35,full
2024-10-24,92,full
2024-10-25,135,full
2024-10-27,35,full
2024-10-29,92,full
2024-10-30,135,full
2024-11-01,35,full
2024-11-03,92,full
2024-11-04,135,full
2024-11-06,35,full
2024-11-08,92,full
2024-11-09,135,full
2024-11-11,35,full
2024-11-13,92,full
2024-11-14,135,full
2024-11-16,35,full
2024-11-18,92,full
2024-11-19,135,full
2024-11-21,35,full
2024-11-23,92,full
2024-11-24,135,full
2024-11-26,35,full
2024-11-28,92,full
2024-11-29,135,full
2024-12-01,35,full
2024-12-03,92,full
2024-12-04,135,full
2024-12-06,35,full
2024-12-08,92,full
2024-12-09,135,full
2024-12-11,35,full
2024-12-13,92,full
2024-12-14,135,full
2024-12-16,35,full
2024-12-18,92,full
2024-12-19,135,full
2024-12-21,35,full
2024-12-23,92,full
2024-12-24,135,full
2024-12-26,35,full
2024-12-28,92,full
2024-12-29,135,full
2024-12-31,35,full
