date,path,coverage
2023-01-01,82,full
2023-01-07,81,full
2023-01-08,83,full
2023-01-09,82,full
2023-01-15,81,full
2023-01-16,83,full
2023-01-17,82,full
2023-01-23,81,full
2023-01-24,83,full
2023-01-25,82,full
2023-01-31,81,full
2023-02-01,83,full
2023-02-02,82,full
2023-02-08,81,full
2023-02-09,83,full
2023-02-10,82,full
2023-02-16,81,full
2023-02-17,83,full
2023-02-18,82,full
2023-02-24,81,full
2023-02-25,83,full
2023-02-26,82,full
2023-03-04,81,full
2023-03-05,83,full
2023-03-06,82,full
2023-03-12,81,full
2023-03-13,83,full
2023-03-14,82,full
2023-03-20,81,full
2023-03-21,83,full
2023-03-22,82,full
2023-03-28,81,full
2023-03-29,83,full
2023-03-30,82,full
2023-04-05,81,full
2023-04-06,83,full
2023-04-07,82,full
2023-04-13,81,full
2023-04-14,83,full
2023-04-15,82,full
2023-04-21,81,full
2023-04-22,83,full
2023-04-23,82,full
2023-04-29,81,full
2023-04-30,83,full
2023-05-01,82,full
2023-05-07,81,full
2023-05-08,83,full
2023-05-09,82,full
2023-05-15,81,full
2023-05-16,83,full
2023-05-17,82,full
2023-05-23,81,full
2023-05-24,83,full
2023-05-25,82,full
2023-05-31,81,full
2023-06-01,83,full
2023-06-02,82,full
2023-06-08,81,full
2023-06-09,83,full
2023-06-10,82,full
2023-06-16,81,full
2023-06-17,83,full
2023-06-18,82,full
2023-06-24,81,full
2023-06-25,83,full
2023-06-26,82,full
2023-07-02,81,full
2023-07-03,83,full
2023-07-04,82,full
2023-07-10,81,full
2023-07-11,83,full
2023-07-12,82,full
2023-07-18,81,full
2023-07-19,83,full
2023-07-20,82,full
2023-07-26,81,full
2023-07-27,83,full
2023-07-28,82,full
2023-08-03,81,full
2023-08-04,83,full
2023-08-05,82,full
2023-08-11,81,full
2023-08-12,83,full
2023-08-13,82,full
2023-08-19,81,full
2023-08-20,83,full
2023-08-21,82,full
2023-08-27,81,full
2023-08-28,83,full
2023-08-29,82,full
2023-09-04,81,full
2023-09-05,83,full
2023-09-06,82,full
2023-09-12,81,full
2023-09-13,83,full
2023-09-14,82,full
2023-09-20,81,full
2023-09-21,83,full
2023-09-22,82,full
2023-09-28,81,full
2023-09-29,83,full
2023-09-30,82,full
2023-10-06,81,full
2023-10-07,83,full
2023-10-08,82,full
2023-10-14,81,full
2023-10-15,83,full
2023-10-16,82,full
2023-10-22,81,full
2023-10-23,83,full
2023-10-24,82,full
2023-10-30,81,full
2023-10-31,83,full
2023-11-01,82,full
2023-11-07,81,full
2023-11-08,83,full
2023-11-09,82,full
2023-11-15,81,full
2023-11-16,83,full
2023-11-17,82,full
2023-11-23,81,full
2023-11-24,83,full
2023-11-25,82,full
2023-12-01,81,full
2023-12-02,83,full
2023-12-03,82,full
2023-12-09,81,full
2023-12-10,83,full
2023-12-11,82,full
2023-12-17,81,full
2023-12-18,83,full
2023-12-19,82,full
2023-12-25,81,full
2023-12-26,83,full
2023-12-27,82,full
