date,path,coverage
2025-01-06,57,full
2025-01-07,56,full
2025-01-08,55,partial
2025-01-14,57,full
2025-01-15,56,full
2025-01-16,55,partial
2025-01-22,57,full
2025-01-23,56,full
2025-01-24,55,partial
2025-01-30,57,full
2025-01-31,56,full
2025-02-01,55,partial
2025-02-07,57,full
2025-02-08,56,full
2025-02-09,55,partial
2025-02-15,57,full
2025-02-16,56,full
2025-02-17,55,partial
2025-02-23,57,full
2025-02-24,56,full
2025-02-25,55,partial
2025-03-03,57,full
2025-03-04,56,full
2025-03-05,55,partial
2025-03-11,57,full
2025-03-12,56,full
2025-03-13,55,partial
2025-03-19,57,full
2025-03-20,56,full
2025-03-21,55,partial
2025-03-27,57,full
2025-03-28,56,full
2025-03-29,55,partial
2025-04-04,57,full
2025-04-05,56,full
2025-04-06,55,partial
2025-04-12,57,full
2025-04-13,56,full
2025-04-14,55,partial
2025-04-20,57,full
2025-04-21,56,full
2025-04-22,55,partial
2025-04-28,57,full
2025-04-29,56,full
2025-04-30,55,partial
2025-05-06,57,full
2025-05-07,56,full
2025-05-08,55,partial
2025-05-14,57,full
2025-05-15,56,full
2025-05-16,55,partial
2025-05-22,57,full
2025-05-23,56,full
2025-05-24,55,partial
2025-05-30,57,full
2025-05-31,56,full
2025-06-01,55,partial
2025-06-07,57,full
2025-06-08,56,full
2025-06-09,55,partial
2025-06-15,57,full
2025-06-16,56,full
2025-06-17,55,partial
2025-06-23,57,full
2025-06-24,56,full
2025-06-25,55,partial
2025-07-01,57,full
2025-07-02,56,full
2025-07-03,55,partial
2025-07-09,57,full
2025-07-10,56,full
2025-07-11,55,partial
2025-07-17,57,full
2025-07-18,56,full
2025-07-19,55,partial
2025-07-25,57,full
2025-07-26,56,full
2025-07-27,55,partial
2025-08-02,57,full
2025-08-03,56,full
2025-08-04,55,partial
2025-08-10,57,full
2025-08-11,56,full
2025-08-12,55,partial
2025-08-18,57,full
2025-08-19,56,full
2025-08-20,55,partial
2025-08-26,57,full
2025-08-27,56,full
2025-08-28,55,partial
2025-09-03,57,full
2025-09-04,56,full
2025-09-05,55,partial
2025-09-11,57,full
2025-09-12,56,full
2025-09-13,55,partial
2025-09-19,57,full
2025-09-20,56,full
2025-09-21,55,partial
2025-09-27,57,full
2025-09-28,56,full
2025-09-29,55,partial
2025-10-05,57,full
2025-10-06,56,full
2025-10-07,55,partial
2025-10-13,57,full
2025-10-14,56,full
2025-10-15,55,partial
2025-10-21,57,full
2025-10-22,56,full
2025-10-23,55,partial
2025-10-29,57,full
2025-10-30,56,full
2025-10-31,55,partial
2025-11-06,57,full
2025-11-07,56,full
2025-11-08,55,partial
2025-11-14,57,full
2025-11-15,56,full
2025-11-16,55,partial
2025-11-22,57,full
2025-11-23,56,full
2025-11-24,55,partial
2025-11-30,57,full
2025-12-01,56,full
2025-12-02,55,partial
2025-12-08,57,full
2025-12-09,56,full
2025-12-10,55,partial
2025-12-16,57,full
2025-12-17,56,full
2025-12-18,55,partial
2025-12-24,57,full
2025-12-25,56,full
2025-12-26,55,partial
