date,path,coverage
2025-01-03,74,full
2025-01-04,76,full
2025-01-05,75,full
2025-01-11,74,full
2025-01-12,76,full
2025-01-13,75,full
2025-01-19,74,full
2025-01-20,76,full
2025-01-21,75,full
2025-01-27,74,full
2025-01-28,76,full
2025-01-29,75,full
2025-02-04,74,full
2025-02-05,76,full
2025-02-06,75,full
2025-02-12,74,full
2025-02-13,76,full
2025-02-14,75,full
2025-02-20,74,full
2025-02-21,76,full
2025-02-22,75,full
2025-02-28,74,full
2025-03-01,76,full
2025-03-02,75,full
2025-03-08,74,full
2025-03-09,76,full
2025-03-10,75,full
2025-03-16,74,full
2025-03-17,76,full
2025-03-18,75,full
2025-03-24,74,full
2025-03-25,76,full
2025-03-26,75,full
2025-04-01,74,full
2025-04-02,76,full
2025-04-03,75,full
2025-04-09,74,full
2025-04-10,76,full
2025-04-11,75,full
2025-04-17,74,full
2025-04-18,76,full
2025-04-19,75,full
2025-04-25,74,full
2025-04-26,76,full
2025-04-27,75,full
2025-05-03,74,full
2025-05-04,76,full
2025-05-05,75,full
2025-05-11,74,full
2025-05-12,76,full
2025-05-13,75,full
2025-05-19,74,full
2025-05-20,76,full
2025-05-21,75,full
2025-05-27,74,full
2025-05-28,76,full
2025-05-29,75,full
2025-06-04,74,full
2025-06-05,76,full
2025-06-06,75,full
2025-06-12,74,full
2025-06-13,76,full
2025-06-14,75,full
2025-06-20,74,full
2025-06-21,76,full
2025-06-22,75,full
2025-06-28,74,full
2025-06-29,76,full
2025-06-30,75,full
2025-07-06,74,full
2025-07-07,76,full
2025-07-08,75,full
2025-07-14,74,full
2025-07-15,76,full
2025-07-16,75,full
2025-07-22,74,full
2025-07-23,76,full
2025-07-24,75,full
2025-07-30,74,full
2025-07-31,76,full
2025-08-01,75,full
2025-08-07,74,full
2025-08-08,76,full
2025-08-09,75,full
2025-08-15,74,full
2025-08-16,76,full
2025-08-17,75,full
2025-08-23,74,full
2025-08-24,76,full
2025-08-25,75,full
2025-08-31,74,full
2025-09-01,76,full
2025-09-02,75,full
2025-09-08,74,full
2025-09-09,76,full
2025-09-10,75,full
2025-09-16,74,full
2025-09-17,76,full
2025-09-18,75,full
2025-09-24,74,full
2025-09-25,76,full
2025-09-26,75,full
2025-10-02,74,full
2025-10-03,76,full
2025-10-04,75,full
2025-10-10,74,full
2025-10-11,76,full
2025-10-12,75,full
2025-10-18,74,full
2025-10-19,76,full
2025-10-20,75,full
2025-10-26,74,full
2025-10-27,76,full
2025-10-28,75,full
2025-11-03,74,full
2025-11-04,76,full
2025-11-05,75,full
2025-11-11,74,full
2025-11-12,76,full
2025-11-13,75,full
2025-11-19,74,full
2025-11-20,76,full
2025-11-21,75,full
2025-11-27,74,full
2025-11-28,76,full
2025-11-29,75,full
2025-12-05,74,full
2025-12-06,76,full
2025-12-07,75,full
2025-12-13,74,full
2025-12-14,76,full
2025-12-15,75,full
2025-12-21,74,full
2025-12-22,76,full
2025-12-23,75,full
2025-12-29,74,full
2025-12-30,76,full
2025-12-31,75,full
