date,path,coverage
2025-01-04,75,full
2025-01-05,74,full
2025-01-06,73,partial
2025-01-12,75,full
2025-01-13,74,full
2025-01-14,73,partial
2025-01-20,75,full
2025-01-21,74,full
2025-01-22,73,partial
2025-01-28,75,full
2025-01-29,74,full
2025-01-30,73,partial
2025-02-05,75,full
2025-02-06,74,full
2025-02-07,73,partial
2025-02-13,75,full
2025-02-14,74,full
2025-02-15,73,partial
2025-02-21,75,full
2025-02-22,74,full
2025-02-23,73,partial
2025-03-01,75,full
2025-03-02,74,full
2025-03-03,73,partial
2025-03-09,75,full
2025-03-10,74,full
2025-03-11,73,partial
2025-03-17,75,full
2025-03-18,74,full
2025-03-19,73,partial
2025-03-25,75,full
2025-03-26,74,full
2025-03-27,73,partial
2025-04-02,75,full
2025-04-03,74,full
2025-04-04,73,partial
2025-04-10,75,full
2025-04-11,74,full
2025-04-12,73,partial
2025-04-18,75,full
2025-04-19,74,full
2025-04-20,73,partial
2025-04-26,75,full
2025-04-27,74,full
2025-04-28,73,partial
2025-05-04,75,full
2025-05-05,74,full
2025-05-06,73,partial
2025-05-12,75,full
2025-05-13,74,full
2025-05-14,73,partial
2025-05-20,75,full
2025-05-21,74,full
2025-05-22,73,partial
2025-05-28,75,full
2025-05-29,74,full
2025-05-30,73,partial
2025-06-05,75,full
2025-06-06,74,full
2025-06-07,73,partial
2025-06-13,75,full
2025-06-14,74,full
2025-06-15,73,partial
2025-06-21,75,full
2025-06-22,74,full
2025-06-23,73,partial
2025-06-29,75,full
2025-06-30,74,full
2025-07-01,73,partial
2025-07-07,75,full
2025-07-08,74,full
2025-07-09,73,partial
2025-07-15,75,full
2025-07-16,74,full
2025-07-17,73,partial
2025-07-23,75,full
2025-07-24,74,full
2025-07-25,73,partial
2025-07-31,75,full
2025-08-01,74,full
2025-08-02,73,partial
2025-08-08,75,full
2025-08-09,74,full
2025-08-10,73,partial
2025-08-16,75,full
2025-08-17,74,full
2025-08-18,73,partial
2025-08-24,75,full
2025-08-25,74,full
2025-08-26,73,partial
2025-09-01,75,full
2025-09-02,74,full
2025-09-03,73,partial
2025-09-09,75,full
2025-09-10,74,full
2025-09-11,73,partial
2025-09-17,75,full
2025-09-18,74,full
2025-09-19,73,partial
2025-09-25,75,full
2025-09-26,74,full
2025-09-27,73,partial
2025-10-03,75,full
2025-10-04,74,full
2025-10-05,73,partial
2025-10-11,75,full
2025-10-12,74,full
2025-10-13,73,partial
2025-10-19,75,full
2025-10-20,74,full
2025-10-21,73,partial
2025-10-27,75,full
2025-10-28,74,full
2025-10-29,73,partial
2025-11-04,75,full
2025-11-05,74,full
2025-11-06,73,partial
2025-11-12,75,full
2025-11-13,74,full
2025-11-14,73,partial
2025-11-20,75,full
2025-11-21,74,full
2025-11-22,73,partial
2025-11-28,75,full
2025-11-29,74,full
2025-11-30,73,partial
2025-12-06,75,full
2025-12-07,74,full
2025-12-08,73,partial
2025-12-14,75,full
2025-12-15,74,full
2025-12-16,73,partial
2025-12-22,75,full
2025-12-23,74,full
2025-12-24,73,partial
2025-12-30,75,full
2025-12-31,74,full
