date,path,coverage
2025-01-01,14,full
2025-01-02,13,full
2025-01-09,14,full
2025-01-10,13,full
2025-01-17,14,full
2025-01-18,13,full
2025-01-25,14,full
2025-01-26,13,full
2025-02-02,14,full
2025-02-03,13,full
2025-02-10,14,full
2025-02-11,13,full
2025-02-18,14,full
2025-02-19,13,full
2025-02-26,14,full
2025-02-27,13,full
2025-03-06,14,full
2025-03-07,13,full
2025-03-14,14,full
2025-03-15,13,full
2025-03-22,14,full
2025-03-23,13,full
2025-03-30,14,full
2025-03-31,13,full
2025-04-07,14,full
2025-04-08,13,full
2025-04-15,14,full
2025-04-16,13,full
2025-04-23,14,full
2025-04-24,13,full
2025-05-01,14,full
2025-05-02,13,full
2025-05-09,14,full
2025-05-10,13,full
2025-05-17,14,full
2025-05-18,13,full
2025-05-25,14,full
2025-05-26,13,full
2025-06-02,14,full
2025-06-03,13,full
2025-06-10,14,full
2025-06-11,13,full
2025-06-18,14,full
2025-06-19,13,full
2025-06-26,14,full
2025-06-27,13,full
2025-07-04,14,full
2025-07-05,13,full
2025-07-12,14,full
2025-07-13,13,full
2025-07-20,14,full
2025-07-21,13,full
2025-07-28,14,full
2025-07-29,13,full
2025-08-05,14,full
2025-08-06,13,full
2025-08-13,14,full
2025-08-14,13,full
2025-08-21,14,full
2025-08-22,13,full
2025-08-29,14,full
2025-08-30,13,full
2025-09-06,14,full
2025-09-07,13,full
2025-09-14,14,full
2025-09-15,13,full
2025-09-22,14,full
2025-09-23,13,full
2025-09-30,14,full
2025-10-01,13,full
2025-10-08,14,full
2025-10-09,13,full
2025-10-16,14,full
2025-10-17,13,full
2025-10-24,14,full
2025-10-25,13,full
2025-11-01,14,full
2025-11-02,13,full
2025-11-09,14,full
2025-11-10,13,full
2025-11-17,14,full
2025-11-18,13,full
2025-11-25,14,full
2025-11-26,13,full
2025-12-03,14,full
2025-12-04,13,full
2025-12-11,14,full
2025-12-12,13,full
2025-12-19,14,full
2025-12-20,13,full
2025-12-27,14,full
2025-12-28,13,full
